field_id,index,mnemonic,description,EQSdisp,EQSscreen,BQL,env,soc,gov,esgo,fr_bbggei,fr_eet,fr_eutax,fr_sdgs,fr_sfdr,fr_tcfd,source,issue1,issue2,theme1,theme2,is_esg,esgd,field_pop_rank,freq,bqlc_y2021,bqlc_y2020,bqlc_y2019,bqlc_y2018,bqlc_freq
SA363,53595,3RD_PTY_CERTIFIED_FORESTLAND,Third Party Certified Forestland,False,True,True,True,False,False,False,False,True,False,False,True,False,BLP,EcologicalImpact,,NaturalCapital,,True,True,1226.0,Yearly,12.0,12.0,12.0,7.0,Yearly
SA364,53596,ALTERNATIVE_FUEL_USED,Alternative Fuel Used,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnergyManagement,,Energy,,True,True,1509.0,Yearly,38.0,45.0,39.0,32.0,Yearly
SA367,53597,HAS_FRSTY_STD_SUSP_TERMIN,Has Forestry Standard Suspended Terminated FY,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EcologicalImpact,,NaturalCapital,,True,True,1523.0,Yearly,328.0,319.0,288.0,101.0,Yearly
SA369,53598,WASTEWATER_TREATED,Wastewater Treated,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,WaterManagement,,NaturalCapital,,True,True,1345.0,Yearly,97.0,111.0,105.0,92.0,Yearly
SA378,53603,SCOPE_3_OTHER_DWNSTRM_EMISSIONS,Scope 3 Other Downstream Emissions,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,1065.0,Yearly,21.0,30.0,34.0,33.0,Yearly
SA379,53604,SCOPE_3_OTHER_UPSTREAM_EMISSIONS,Scope 3 Other Upstream Emissions,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,1020.0,Yearly,51.0,64.0,59.0,45.0,Yearly
SA380,53605,AREA_FOREST_PROT_CONSERV_ST,Area Forestland Protected Conservation Status,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EcologicalImpact,,NaturalCapital,,True,True,1494.0,Yearly,2.0,6.0,9.0,7.0,Yearly
SA381,53606,AREA_FOREST_INDIGENOUS_LAND,Area of Forestland in Indigenous Land,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,CommunityRights&Relations,,Community&Customers,,True,True,1552.0,Yearly,0.0,0.0,1.0,1.0,Yearly
SA382,53607,AVG_RECYCLABILITY_RATE_PROD,Average Recyclability Rate of Products,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1778.0,Yearly,15.0,15.0,14.0,12.0,Yearly
SA390,53611,NUMBER_SUPPLIERS_NON_COMPL,Number of Suppliers in Non Compliance,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,SocialSupplyChainManagement,,ModernSlavery,SupplyChain,True,True,1479.0,Yearly,68.0,60.0,50.0,44.0,Yearly
SA393,53612,CMDTY_SRCNG_ESG_RISKS_DISCSD,Commodity Sourcing ESG Risks Discsd,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1045.0,Yearly,1767.0,1344.0,1306.0,1256.0,Yearly
SA395,53614,NUMBER_SUPPLIERS,Number of Suppliers,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,SocialSupplyChainManagement,,SupplyChain,,True,True,1247.0,Yearly,524.0,418.0,326.0,259.0,Yearly
SA396,53615,NUMBER_CRTCL_SUPPLIERS,Number of Critical Suppliers,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,SocialSupplyChainManagement,,SupplyChain,,True,True,2112.0,Yearly,81.0,56.0,42.0,35.0,Yearly
SA397,53616,GREEN_CHEM_PRINCIPLES_USD,Green Chemistry Principles Used,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1828.0,Yearly,1131.0,892.0,870.0,843.0,Yearly
SA398,53617,TOTAL_WEIGHT_PACKAGING,Total Weight of Packaging,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1756.0,Yearly,75.0,78.0,62.0,52.0,Yearly
